State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Grand Total
Andaman and Nicobar Island,1,30.0,81,,40.0,152
Arunachal Pradesh,14,,5,,,19
Assam,721,47041.0,161,7.0,15.0,47945
Bihar,5003,59079.0,114,11.0,26.0,64233
Chandigarh,298,1410.0,182,,40.0,1930
Chhattisgarh,6424,5341.0,117,1077.0,1.0,12960
Delhi,14730,112831.0,3051,49.0,39.0,130700
Goa,1314,28.0,289,13.0,36.0,1680
Gujarat,13662,1869.0,1309,28.0,278.0,17146
Haryana,7777,18595.0,186,122.0,8.0,26688
Himachal Pradesh,368,167.0,37,7.0,86.0,665
Jammu and Kashmir,1417,43.0,10,6.0,43.0,1519
Jharkhand,2961,8986.0,139,24.0,4.0,12114
Karnataka,56737,16478.0,7212,153.0,44.0,80624
Kerala,10299,2115.0,2524,43.0,23.0,15004
Ladakh,12,,5484,,,5496
Maharashtra,51149,6155.0,2,30.0,851.0,58187
Manipur,86,443.0,9,1.0,,539
Meghalaya,16,6.0,3,3.0,,28
Mizoram,9,1.0,4,2.0,1.0,17
Nagaland,44,,121,3.0,,168
Odisha,10329,1808.0,75,21.0,,12233
Puducherry,1429,32.0,124,9.0,20.0,1614
Punjab,6408,2878.0,798,35.0,2.0,10121
Rajasthan,23446,29631.0,12,25.0,1.0,53115
Sikkim,1,,2414,1.0,,2416
Tamil Nadu,44302,4470.0,13,1281.0,37.0,50103
Tripura,67,7510.0,14,1.0,,7592
Dadra and Nagar Haveli and Daman and Diu,69,36.0,153,2.0,10.0,270
Uttar Pradesh,18295,257159.0,368,53.0,327.0,276202
Uttarakhand,2614,22096.0,709,1.0,10.0,25430
West Bengal,2540,40948.0,615,28.0,97.0,44228
Grand Total,282542,647186.0,26335,3036.0,2039.0,961138
